Species Name,Scientific Name,Taxonomy,Status
Common Mormon Swallowtail,Papilio polytes,Order: Lepidoptera; Family: Papilionidae,Very common. Not threatened
Common Crow Butterfly,Euploea core,Order: Lepidoptera; Family: Nymphalidae,Least Concern
Blue Tiger,Tirumala limniace,Order: Lepidoptera; Family: Nymphalidae,Very common. Not threatened
Common Jezebel,Delias eucharis,Order: Lepidoptera; Family: Pieridae,Very common. Not threatened
Common Leopard,Phalanta phalantha,Order: Lepidoptera; Family: Nymphalidae,Least Concern
Great Mormon,Papilio agenor,Order: Lepidoptera; Family: Papilionidae,Very common. Not threatened
Common Grass Yellow,Terias hecabe,Order: Lepidoptera; Family: Pieridae,Very common. Not threatened
Crimson Rose,Pachliopta hector,Order: Lepidoptera; Family: Papilionidae,Least Concern
Common Pierrot,Castalius rosimon,Order: Lepidoptera; Family: Lycaenidae,Very common. Not threatened
Common Tiger Butterfly,Danaus genutia,Order: Lepidoptera; Family: Nymphalidae,Very common. Not threatened
Peacock Pansy,Junonia almana,Order: Lepidoptera; Family: Nymphalidae,Least Concern
Commander,Moduza procris,Order: Lepidoptera; Family: Nymphalidae,Very common. Not threatened
Common Palmfly,Elymnias hypermnestra,Order: Lepidoptera; Family: Nymphalidae,Very common. Not threatened
Smooth-eyed Bushbrown,Orsotriaena medus,Order: Lepidoptera; Family: Nymphalidae,Very common. Not threatened
Lime Swallowtail,Papilio demoleus,Order: Lepidoptera; Family: Papilionidae,Very common. Not threatened
Tiny Grass Blue,Zizula hylax,Order: Lepidoptera; Family: Lycaenidae,Least Concern
Red Pierrot,Talicada nyseus,Order: Lepidoptera; Family: Lycaenidae,Very common. Not threatened
Grey Pansy,Junonia atlites,Order: Lepidoptera; Family: Nymphalidae,Very common. Not threatened
White Four Ring,Ypthima ceylonica,Order: Lepidoptera; Family: Nymphalidae,Very common. Not threatened
Glassy Tiger,Parantica aglea,Order: Lepidoptera; Family: Nymphalidae,Very common. Not threatened
Clipper,Parthenos sylvia,Order: Lepidoptera; Family: Nymphalidae,Very common. Not threatened
Tawny Coster,Acraea terpsicore,Order: Lepidoptera; Family: Nymphalidae,Very common. Not threatened
Angled Castor,Ariadne ariadne,Order: Lepidoptera; Family: Nymphalidae,Very common. Not threatened
Narrow-banded Bluebottle,Graphium teredon,Order: Lepidoptera; Family: Papilionidae,Very common. Not threatened
Great Orange Tip,Hebomoia glaucippe,Order: Lepidoptera; Family: Pieridae,Very common. Not threatened
Spotted Joker,Byblia ilithyia,Order: Lepidoptera; Family: Nymphalidae,Least Concern
Great Eggfly,Hypolimnas bolina,Order: Lepidoptera; Family: Nymphalidae,Very common. Not threatened
Common Baron,Euthalia aconthea,Order: Lepidoptera; Family: Nymphalidae,Very common. Not threatened
Chestnut Bob,Iambrix salsala,Order: Lepidoptera; Family: Hesperiidae,Very common. Not threatened
Painted Lady,Vanessa cardui,Order: Lepidoptera; Family: Nymphalidae,Least Concern
